"pic_id","measured_radius","inc_std.error","inc_statistic","inc_p.value","slope_std.error","slope_statistic","slope_p.value","model_adj.r.squared","model_sigma","model_statistic","model_p.value","model_df","model_logLik","model_AIC","model_BIC","model_deviance","model_df.residual","n","radius","mean_increment","age","larvae_id","KorTobis_sample_id","right_left","year","sd_lgd","slope","intercept","r2","st_date","st_julian_day","hatch_date","hatch_julian","area","stlondec","stlatdec"
"CA_05_21-04-06_01_i1_hX40",1,0.518640676352882,0.399070649178202,0.698230316058323,0.0141059492318144,2.93469742732387,0.0149203111654473,0.408997708687091,0.276410974558327,8.61244898994137,0.0149203111654472,2,-0.502935267352105,7.00587053470421,8.46059048406821,0.76403026856284,10,12,53.4954004178639,1.72820753248857,31.3815845540445,"CA_05_21-04-06_01","CA_05_21-04-06","h",2006,18.5,0.0413966929205669,0.206974271402366,0.462725189715537,2006-04-21,110,2006-03-21,79,"DB",1.57333,54.255
"CA_05_21-04-06_01_i1_hX40",2,1.56381602482382,0.0144580810879866,0.988867968006622,0.0435493417979535,1.21296780366773,0.264482039607156,0.0556338931931533,0.599730851111703,1.47129089273452,0.264482039607156,2,-7.03806311857466,20.0761262371493,20.667799969158,2.51773965642617,7,9,49.8060828018,1.86632627426824,27.9704566199104,"CA_05_21-04-06_01","CA_05_21-04-06","h",2006,18.5,0.052823949471839,0.0226097788935956,0.173679656544009,2006-04-21,110,2006-03-24,82,"DB",1.57333,54.255
"CA_05_21-04-06_02_i1_vX40",1,0.212973839411688,2.94506367911321,0.00630408445921722,0.0031121565523141,9.12454319378919,5.05586676093106e-10,0.732756773282926,0.421488269632927,83.2572884953247,5.05586676093102e-10,2,-16.1705149332398,38.3410298664796,42.6429914799351,5.1519184817066,29,31,121.424885802481,2.63524324714576,50.4878647966691,"CA_05_21-04-06_02","CA_05_21-04-06","v",2006,33.5,0.028397006887424,0.627221519052652,0.741664880840162,2006-04-21,110,2006-03-02,60,"DB",1.57333,54.255
"CA_05_21-04-06_02_i1_vX40",2,0.186302347058739,4.31469440730632,0.000179794798226,0.00353485737429595,6.0425249105293,1.63235081290983e-06,0.550471977799861,0.322278200950047,36.5121072943671,1.63235081290983e-06,2,-7.56305907344869,21.1261181468974,25.3297102918838,2.90817068661277,28,30,104.308443802243,2.13141854386699,51.5550859988689,"CA_05_21-04-06_02","CA_05_21-04-06","v",2006,33.5,0.0213594637393515,0.803837694922383,0.565972944082625,2006-04-21,110,2006-02-28,58,"DB",1.57333,54.255
"CA_05_21-04-06_03_i1_vX40",1,0.560485851691793,2.86193269129737,0.0353264579716291,0.00692910264164489,3.52761904351569,0.0167822713522938,0.656044087349606,0.130771435468265,12.4440961161745,0.0167822713522939,2,5.48521282528954,-4.97042565057908,-5.13269520341314,0.0855058416721524,5,7,102.064788367776,3.09590190101907,38.5075544999547,"CA_05_21-04-06_03","CA_05_21-04-06","v",2006,31,0.0244432344331414,1.60407278196639,0.713370072791338,2006-04-21,110,2006-03-13,71,"DB",1.57333,54.255
"CA_05_21-04-06_03_i1_vX40",2,0.275387415033324,0.558914799390745,0.581621539177004,0.00455100560770588,7.66223025354655,8.91827140534462e-08,0.706277483366761,0.36378953027813,58.7097724583639,8.91827140534466e-08,2,-9.15169841595567,24.3033968319113,27.9600243065159,3.0438849138196,23,25,99.2544078714253,2.23316955621217,47.4896508646007,"CA_05_21-04-06_03","CA_05_21-04-06","v",2006,31,0.034870852851424,0.153918101828086,0.718515921559812,2006-04-21,110,2006-03-05,63,"DB",1.57333,54.255
"CA_05_21-04-06_04_i1_hX40",1,0.526343456693872,0.595852107239889,0.558692834530391,0.00857804579052445,5.06003282558631,0.0000815441211251415,0.564259482044186,0.592900738524821,25.6039321960109,0.0000815441211251416,2,-16.8705998544128,39.7411997088256,42.7283965294876,6.327563143379,18,20,100.651102553401,2.9320650706567,39.5065868628004,"CA_05_21-04-06_04","CA_05_21-04-06","h",2006,29,0.0434051932794361,0.313622857802971,0.587193193515545,2006-04-21,110,2006-03-12,70,"DB",1.57333,54.255
"CA_05_21-04-06_04_i1_hX40",2,0.231241670560585,2.87444171415945,0.0115791940287693,0.0054816708895243,6.50330513298418,9.97295771034038e-06,0.720733663085385,0.356805324352824,42.2929776526984,9.97295771034041e-06,2,-5.53846409951064,17.0769281990213,19.5765682311899,1.90965059229786,15,17,81.5520077913782,2.47480337171141,36.8714740310107,"CA_05_21-04-06_04","CA_05_21-04-06","h",2006,29,0.0356489784331733,0.664690703911264,0.738187809142548,2006-04-21,110,2006-03-15,73,"DB",1.57333,54.255
"CA_05_21-04-06_05_i1_hX40",1,0.38059157778462,1.26608310739227,0.220032544635805,0.00833738326347105,3.93067135170319,0.000827300661605014,0.407619323394747,0.441422856111385,15.4501772751002,0.000827300661605019,2,-12.177691630556,30.3553832611121,33.628510621187,3.89708275795065,20,22,78.2957280635336,2.09251045912115,39.8592289990357,"CA_05_21-04-06_05","CA_05_21-04-06","h",2006,23,0.0327715135418953,0.481860567448879,0.435827927042616,2006-04-21,110,2006-03-12,70,"DB",1.57333,54.255
"CA_05_21-04-06_06_i1_hX40",1,0.27471436063301,6.57434456998943,6.39772472958269e-06,0.00620195010824779,-0.647457147570722,0.526517675537793,-0.0353731737995047,0.228356193711002,0.419200757940416,0.526517675537793,2,2.10242881045281,1.79514237909438,4.46625765278287,0.834344819298828,16,18,63.6013483879486,1.97391734387569,34.0887407080275,"CA_05_21-04-06_06","CA_05_21-04-06","h",2006,NA,-0.00401549692646204,1.80606686512575,0.0255311305416427,2006-04-21,110,2006-03-18,76,"DB",1.57333,54.255
