"pic_id","mark_no"
"CY_02_20-04-06_13_i1_hX40",2
"CY_02_20-04-06_13_i1_hX40",3
"CY_02_20-04-06_15_i1_vX60",2
"CY_02_20-04-06_15_i1_vX60",3
"CY_02_20-04-06_15_i1_vX60",4
"CY_02_20-04-06_15_i1_vX60",5
"CY_02_20-04-06_16_i1_hX40",2
"CY_02_20-04-06_16_i1_hX40",3
"CY_02_20-04-06_16_i1_hX40",4
"CY_02_20-04-06_16_i1_vX60",2
"CY_02_20-04-06_16_i1_vX60",3
"CY_02_20-04-06_16_i1_vX60",4
"CY_02_20-04-06_18_i1_vX40",2
"CY_02_20-04-06_18_i1_vX40",3
"CY_02_20-04-06_18_i1_vX40",9
"CY_02_20-04-06_19_i1_hX60",2
"CY_02_20-04-06_19_i1_hX60",3
"CY_02_20-04-06_19_i1_hX60",4
"CY_02_20-04-06_19_i1_hX60",5
"CY_02_20-04-06_19_i1_vX60",2
"CY_02_20-04-06_19_i1_vX60",3
"CY_02_20-04-06_19_i1_vX60",4
"CY_02_20-04-06_20_i1_hX60",2
"CY_02_20-04-06_20_i1_vX60",2
"CY_02_20-04-06_20_i1_vX60",3
"CY_02_20-04-06_20_i1_vX60",4
"CY_25_22-04-06_01_i1_hX40",2
"CY_25_22-04-06_01_i1_hX40",3
"CY_25_22-04-06_01_i1_hX40",4
"CY_25_22-04-06_02_i1_hX60",2
"CY_25_22-04-06_03_i2_vX40",2
"CY_25_22-04-06_03_i2_vX40",3
"CY_25_22-04-06_03_i2_vX40",4
"CY_25_22-04-06_03_i2_vX40",5
"CY_25_22-04-06_05_i1_hX40",2
"CY_25_22-04-06_05_i2_vX40",2
"CY_25_22-04-06_05_i2_vX40",3
"CY_25_22-04-06_05_i2_vX40",4
"CY_25_22-04-06_05_i2_vX40",5
"CY_25_22-04-06_05_i2_vX40",6
"CY_25_22-04-06_06_i1_hX40",2
"CY_25_22-04-06_06_i1_hX40",3
"CY_25_22-04-06_06_i1_hX40",4
"CY_25_22-04-06_06_i1_hX40",5
"CY_25_22-04-06_07_i1_hX40",2
"CY_25_22-04-06_07_i1_hX40",3
"CY_25_22-04-06_07_i1_hX40",4
"CY_25_22-04-06_07_i1_hX40",5
"CY_25_22-04-06_07_i1_vX40",2
"CY_25_22-04-06_07_i1_vX40",3
"CY_25_22-04-06_07_i1_vX40",4
"CY_25_22-04-06_07_i1_vX40",5
"CY_25_22-04-06_07_i1_vX40",6
"CY_25_22-04-06_07_i1_vX40",7
"CY_25_22-04-06_08_i1_hX40",2
"CY_25_22-04-06_08_i1_hX40",3
"CY_25_22-04-06_08_i1_hX40",4
"CY_25_22-04-06_08_i1_vX40",2
"CY_25_22-04-06_08_i1_vX40",3
"CY_25_22-04-06_11_i1_hX40",2
"CY_25_22-04-06_11_i1_hX40",3
"CY_25_22-04-06_11_i1_hX40",4
"CY_25_22-04-06_11_i1_hX40",5
"CY_25_22-04-06_11_i2_vX40",2
"CY_25_22-04-06_11_i2_vX40",3
"CY_25_22-04-06_11_i2_vX40",16
"CY_25_22-04-06_11_i2_vX40",4
"CY_25_22-04-06_11_i2_vX40",5
"CY_25_22-04-06_11_i2_vX40",6
"CY_25_22-04-06_13_i1_hX40",2
"CY_25_22-04-06_13_i1_hX40",3
"CY_25_22-04-06_13_i1_hX40",4
"CY_25_22-04-06_13_i1_hX40",5
"CY_25_22-04-06_13_i1_hX40",6
"CY_25_22-04-06_13_i1_vX40",2
"CY_25_22-04-06_13_i1_vX40",3
"CY_25_22-04-06_14_i1_hX40",2
"CY_25_22-04-06_14_i1_vX40",2
"CY_25_22-04-06_14_i1_vX40",3
"CY_25_22-04-06_14_i1_vX40",4
"CY_25_22-04-06_14_i1_vX40",5
"CY_25_22-04-06_14_i1_vX40",7
"CY_25_22-04-06_14_i1_vX40",8
"CY_25_22-04-06_14_i1_vX40",9
"CY_25_22-04-06_14_i1_vX40",10
"CY_25_22-04-06_16_i1_vX40",11
"CY_25_22-04-06_17_i1_hX40",2
