larvae_id,tlgd,sd_lgd
PK_12_22-04-08_06,16.8,15
PK_12_22-04-08_07,22.8,20.3
PK_12_22-04-08_08,23.4,20.7
PK_12_22-04-08_09,25.2,22.5
PK_12_22-04-08_10,25.5,22.6
PK_12_22-04-08_11,NA,24.3
PK_12_22-04-08_12,23,20.5
PK_12_22-04-08_13,26.4,23.6
PK_12_22-04-08_14,22.9,20.5
PK_12_22-04-08_15,19.5,17.3
PK_12_22-04-08_16,24.2,21.2
PK_12_22-04-08_17,31,27.6
PK_12_22-04-08_18,35.7,32.1
PK_12_22-04-08_19,NA,26.8
PK_12_22-04-08_20,10.8,9.9
PK_03_24-04-08_01,37.8,34.4
PK_03_24-04-08_02,37.4,33.8
PK_03_24-04-08_03,34.5,31.2
PK_03_24-04-08_04,32.2,29.1
PK_03_24-04-08_05,27.8,25
PK_03_24-04-08_06,34.3,31
PK_03_24-04-08_07,33.8,30.2
PK_03_24-04-08_08,30.4,28.1
PK_03_24-04-08_09,26.3,23.8
PK_03_24-04-08_10,26.1,23.7
PK_03_24-04-08_11,NA,23.2
PK_03_24-04-08_12,25.7,23.2
PK_03_24-04-08_13,30.4,27.5
PK_03_24-04-08_14,NA,20.8
PK_03_24-04-08_15,25.6,23.2
PK_03_24-04-08_16,19.3,17.3
PK_03_24-04-08_17,20.5,18.6
PK_03_24-04-08_18,28.6,26.1
PK_03_24-04-08_19,26.6,15.5
PK_03_24-04-08_20,18.4,16.9
PK_09_21-04-08_01,37.1,33.6
PK_09_21-04-08_02,37.4,33.7
PK_09_21-04-08_03,NA,NA
PK_09_21-04-08_04,32.8,29.1
PK_09_21-04-08_05,28.8,25.8
PK_09_21-04-08_06,32.4,29
PK_09_21-04-08_07,29.7,26.4
PK_09_21-04-08_08,29.5,26.2
PK_09_21-04-08_09,29.9,26.7
PK_09_21-04-08_10,31.1,28.1
PK_09_21-04-08_11,27.1,24.2
PK_09_21-04-08_12,29.5,25.6
PK_09_21-04-08_13,18.5,20.6
PK_09_21-04-08_14,26.9,24.2
PK_09_21-04-08_15,23.8,21.1
PK_09_21-04-08_16,NA,NA
PK_09_21-04-08_17,23,21.3
PK_09_21-04-08_18,26.3,24.7
PK_09_21-04-08_19,26.1,24.6
PK_09_21-04-08_20,16.2,14.5
PK_08_20-04-08_01,26.3,23.6
PK_08_20-04-08_02,35.8,32
PK_08_20-04-08_03,34,30.7
PK_08_20-04-08_04,32,28.6
PK_08_20-04-08_05,31.3,28.3
PK_08_20-04-08_06,41.4,37.4
PK_08_20-04-08_07,32.1,29
PK_08_20-04-08_08,40,44.2
PK_08_20-04-08_09,28.3,25.4
PK_08_20-04-08_10,NA,NA
PK_08_20-04-08_11,36.5,33.1
PK_08_20-04-08_12,34.1,30.4
PK_08_20-04-08_13,37.9,34
PK_08_20-04-08_14,NA,NA
PK_08_20-04-08_15,42.1,38.1
PK_08_20-04-08_16,36.9,33.3
PK_08_20-04-08_17,29.3,26.1
PK_08_20-04-08_18,22.4,20.2
PK_08_20-04-08_19,34.2,30.7
PK_08_20-04-08_20,33,29.6
DA_05_20-04-08_01,41,37.3
DA_05_20-04-08_02,38.8,35
DA_05_20-04-08_03,39,35
DA_05_20-04-08_04,37,33.4
DA_05_20-04-08_05,37,33.5
DA_05_20-04-08_06,34.7,31.6
DA_05_20-04-08_07,35.6,32
DA_05_20-04-08_08,31.2,28.1
DA_05_20-04-08_09,36,32.5
DA_05_20-04-08_10,32.4,29.2
DA_05_20-04-08_11,32.2,29.7
DA_05_20-04-08_12,36.7,33.3
DA_05_20-04-08_13,33.5,30.1
DA_05_20-04-08_14,31.2,28.1
DA_05_20-04-08_15,30.2,27.4
DA_05_20-04-08_16,33.9,30.8
DA_05_20-04-08_17,36.1,33
DA_05_20-04-08_18,30.5,33.3
DA_05_20-04-08_19,33.4,30.1
DA_05_20-04-08_20,28.1,25.6
PK_06_17-04-08_01,17.5,15.8
PK_06_17-04-08_02,17.5,15.7
PK_06_17-04-08_03,NA,NA
PK_06_17-04-08_04,18.1,16.3
PK_06_17-04-08_05,20.7,18.6
PK_06_17-04-08_06,16,14.2
PK_06_17-04-08_07,26.8,29.8
PK_06_17-04-08_08,27.4,24.7
PK_06_17-04-08_09,19.8,17.8
PK_06_17-04-08_10,23.8,21.5
PK_06_17-04-08_11,28.2,25.7
PK_06_17-04-08_12,17.6,15.9
PK_06_17-04-08_13,20.6,18.4
PK_06_17-04-08_14,23.3,20.8
PK_06_17-04-08_15,25,22.4
PK_06_17-04-08_16,21.5,19.4
PK_06_17-04-08_17,0,22.2
PK_06_17-04-08_18,17.1,15.5
PK_06_17-04-08_19,18,16.4
PK_06_17-04-08_20,22.3,20
PK_04_24-04-08_01,24.7,22.4
PK_04_24-04-08_02,32.3,29.7
PK_04_24-04-08_03,36,32.5
PK_04_24-04-08_04,35.3,31.8
PK_04_24-04-08_05,32.9,30.1
PK_04_24-04-08_06,35.5,32.4
PK_04_24-04-08_07,30,27.5
PK_04_24-04-08_08,33.5,30.7
PK_04_24-04-08_09,21,18.8
PK_04_24-04-08_10,41.2,37.6
PK_04_24-04-08_11,38.2,34.8
PK_04_24-04-08_12,35.7,32.3
PK_04_24-04-08_13,43.5,39.9
PK_04_24-04-08_14,44.4,40.4
PK_04_24-04-08_15,39.3,36
PK_04_24-04-08_16,45.6,41.7
PK_04_24-04-08_17,48.4,43.8
PK_04_24-04-08_18,39.5,35.7
PK_04_24-04-08_19,33.2,30
PK_04_24-04-08_20,48.2,43.9
DA_04_18-04-08_01,27.6,25.5
DA_04_18-04-08_02,31.4,28.7
DA_04_18-04-08_03,34.4,31.1
DA_04_18-04-08_04,29.3,26.5
DA_04_18-04-08_05,31.9,29
DA_04_18-04-08_06,31.2,28.4
DA_04_18-04-08_07,28.2,25.7
DA_04_18-04-08_08,28.4,26
DA_04_18-04-08_09,29.5,27
DA_04_18-04-08_10,34.9,31.2
DA_04_18-04-08_11,27.9,25.4
DA_04_18-04-08_12,28.4,26.2
DA_04_18-04-08_13,30.4,27.2
DA_04_18-04-08_14,26.9,24.2
DA_04_18-04-08_15,33.8,31
DA_04_18-04-08_16,30.5,27.4
DA_04_18-04-08_17,28,25.8
DA_04_18-04-08_18,27.2,24.6
DA_04_18-04-08_19,30.6,27.5
DA_04_18-04-08_20,30.3,27.6
PK_01_15-04-08_01,18.4,16.5
PK_01_15-04-08_02,19.1,17.2
PK_01_15-04-08_03,21.3,19.5
PK_01_15-04-08_04,24.5,21.9
PK_01_15-04-08_05,24.7,22.1
PK_01_15-04-08_06,18.5,16.6
PK_01_15-04-08_07,24.1,21.9
PK_01_15-04-08_08,24.7,22.3
PK_01_15-04-08_09,18.2,16
PK_01_15-04-08_10,27.2,24.2
PK_01_15-04-08_11,21.8,19.6
PK_01_15-04-08_12,26.1,23.6
PK_01_15-04-08_13,26.3,23.5
PK_01_15-04-08_14,26.6,24.5
PK_01_15-04-08_15,24.3,21.8
PK_01_15-04-08_16,28,25
PK_01_15-04-08_17,27.2,24.4
PK_01_15-04-08_18,34.2,30.9
PK_01_15-04-08_19,36.5,32.6
PK_01_15-04-08_20,37.1,33.2
PK_07_19-04-09_01,NA,16.1
PK_07_19-04-09_02,NA,20.9
PK_07_19-04-09_03,29.5,27.9
PK_07_19-04-09_04,NA,17.9
PK_07_19-04-09_05,NA,19.6
PK_07_19-04-09_06,19.8,17.9
PK_07_19-04-09_07,22.8,20.8
PK_07_19-04-09_08,26.7,24.1
PK_07_19-04-09_09,39.4,36
PK_07_19-04-09_10,28,25.5
PK_07_19-04-09_11,28.7,25.9
PK_07_19-04-09_12,22.7,20.5
PK_07_19-04-09_13,27.7,25.3
PK_07_19-04-09_14,28.1,25.7
PK_07_19-04-09_15,33.2,30.2
PK_07_19-04-09_16,29.9,27
PK_07_19-04-09_17,39.8,36
